unique,hex_id,x_meter,y_meter,lv,ln_lv,ID_raw,ID,year,plt_ar,plot_area_raw,cst_ar,use,reg,corner,pot,y,x,f_x,f_y,ln_y,ln_x,pop_dens,nivelaca,estrat,puweight,prweight,slum,waste,flats,condos,dev,mat,det,reintro,mun,west,north,south,east,condo_seg,flat_seg,cod_sen,sen_x,sen_y,cod_adm,pucbd,prcbd,ln_cbd,cbd,cbd_norm,ln_lv,d_mroad,dum_mroad,d_hnach,prox_tmst,prox_bus,pumicro,pugrocerie,puban_res,puparks,puschools,puclinics,pumarkets,pumacro,pujobs,puxl_mal,puxl_groc,puuniv,pucult,puhosp,puxl_sport,prmicro,prgrocerie,prban_res,prparks,prschools,prclinics,prmarkets,prmacro,prjobs,prxl_mal,prxl_groc,pruniv,prcult,prhosp,prxl_sport,micro,groceries,ban_res,parks,schools,clinics,markets,macro,jobs,xl_mal,xl_groc,univ,cult,hosp,xl_sport,int_08,int_15,int_25,int_50,int_75,int_n,nach_08,nach_15,nach_25,nach_50,nach_75,nach_n,pumacssx,prmacssx,macssx,puint_grav,print_grav,int_grav
ob_884,2449,768678.8858,1624216.852,1325.46,7.19,7810,7.81,13,5.02,151.4113038,4.81,1,0,0,2,14.6782,-90.50522,7.542,6.839,2.69,4.51,3.75,9.42,5,0.62,0.38,0,0,0,7.78,1,0,0,0,1,0,0,0,0,2,0,sen_102032,7.5381,6.9667,gc_zon_2,4.11,3.49,0.51,0.665291195,0.665291195,7.19,5.22,road_100m,7.04,0,1,0.02,0,0,0.12,0,0,0,0.76,11.81,3.74,3.69,3.74,3.58,3.61,3.74,0.01,0,0,0.06,0.01,0,0,0.66,10.8,2.77,2.77,2.89,2.64,2.89,3,0.02,0,0,0.1,0,0,0,0.72,0.53,0.76,0.75,0.77,0.81,0.77,0.77,3.19,4.02,4.19,4.97,5.96,7.83,0.71,0.68,0.67,0.64,0.64,0.63,0.76,0.68,0.73,6.1,5.82,0.52
ob_474,430,759636.8697,1616768.256,1153.4,7.05,5686,5.686,10,5.52,249.6350372,5.56,1,0,1,3,14.6118,-90.58986,7.017,7.442,2.68,4.51,4.2,7.98,4,0.89,0.11,0,0,0,9.51,0,0,0,0,0,1,0,0,0,1,0,sen_2608032,6.932,7.4247,mix_8,4.15,3.52,0.53,0.698932309,0.698932309,7.05,5.34,road_200m,4.38,0,1,0.03,0,0.01,0,0.03,0.13,0,0.78,11.6,3.74,3,3.18,3.81,2.08,3.97,0.12,0.36,0.05,0.08,0.05,0.05,0,0.64,10.54,3.14,1.95,2.77,3.33,1.39,3.18,0.04,0.04,0.02,0.01,0.04,0.12,0,0.77,0.44,0.76,0.89,0.87,0.75,0.96,0.74,3.75,4.43,5.07,5.83,6.33,8.01,0.77,0.76,0.73,0.72,0.71,0.68,0.81,0.71,0.8,6.18,5.91,0.58
ob_1061,1509,764182.6714,1619557.949,1906.27,7.55,8445,8.445,13,5.22,184.9341841,4.97,1,1,0,4,14.63656,-90.54741,7.459,7.326,2.68,4.51,4.19,4.66,3,0.76,0.24,0,0,7.78,7.37,0,1,0,0,1,0,0,0,0,0,1,sen_2302011,7.4748,7.3335,gc_zon_7,3.86,2.98,0.58,0.786038431,0.786038431,7.55,3.78,road_100m,5.56,0,1,0.07,0,0,0.29,0.07,0,0,0.87,12.07,3.04,2.94,3.43,3.26,2.94,2.3,0.32,0.45,0.18,0.51,0.24,0.26,0,0.83,11.21,1.79,2.08,2.56,2.2,2.08,1.39,0.13,0.11,0.05,0.35,0.11,0.06,0,0.86,0.73,0.9,0.89,0.84,0.87,0.9,0.96,4.39,5.15,6.09,7.03,7.63,8.26,0.84,0.85,0.85,0.83,0.78,0.69,0.89,0.88,0.89,6.52,6.39,0.83
ob_634,2762,770103.4859,1622284.163,1055.16,6.96,6539,6.539,11,5.71,301.8710683,5.57,1,1,0,3,14.6606,-90.4922,7.496,7.09,2.69,4.51,4.12,4,3,0.44,0.56,1,0,6.68,7.37,0,0,1,0,1,0,0,0,0,0,0,sen_107055,7.4928,7.1069,gc_zon_6,3.95,3.33,0.52,0.68202765,0.68202765,6.96,5.53,road_200m,4.36,0,1,0.06,0,0.06,0.12,0.02,0.13,0,0.85,12.01,3.4,3.33,3.5,1.95,3.33,3.22,0.14,0.09,0.05,0.16,0.2,0.16,0.29,0.79,11.08,2.2,2.2,2.64,1.39,2.56,2.2,0.1,0.05,0.05,0.14,0.12,0.14,0,0.81,0.64,0.85,0.84,0.81,0.96,0.82,0.89,4.31,5.14,5.76,6.63,7.09,8.21,0.8,0.75,0.72,0.71,0.69,0.67,0.85,0.81,0.83,6.32,6.1,0.65
ob_39,3290,772759.2853,1617259.849,1164.08,7.06,4205,4.205,8,5.93,376.1545138,6.14,1,1,0,2,14.61495,-90.46808,7.321,7.435,2.68,4.5,3.57,8.52,5,0.97,0.03,0,0,8.47,9.16,1,0,0,0,1,0,0,0,0,3,2,sen_2501074,7.3161,7.4334,gc_zon_16,4.3,3.65,0.51,0.665291195,0.665291195,7.06,6.99,road_500m~,5.55,0,1,0,0,0,0,0,0,0,0.67,11.31,4.26,3.78,3.33,4.13,3.69,4.13,0.03,0.09,0.01,0.02,0.05,0,0,0.54,10.39,3.04,3.26,2.3,3.5,3,3.47,0,0,0,0,0,0,0,0.67,0.34,0.62,0.76,0.87,0.68,0.8,0.7,3.92,4.19,4.26,5.11,5.44,7.7,0.89,0.88,0.81,0.77,0.74,0.72,0.66,0.57,0.66,5.5,5.47,0.3
ob_861,2734,770037.9638,1613680.366,3350.66,8.12,7400,7.4,12,5.18,177.682811,5.31,1,0,1,3,14.58289,-90.49369,7.503,7.415,2.68,4.51,4.35,6.23,4,0.78,0.22,0,0,10.08,8.63,0,1,0,0,1,0,0,0,0,3,3,sen_2402093,7.5005,7.4039,gc_zon_10,3.41,2.35,0.63,0.877610579,0.877610579,8.12,5.85,road_300m,5.87,0,1,0.01,0,0.04,0,0,0,0,0.86,11.92,2.71,2.4,3.58,2.71,3.18,3.71,0.23,0.45,0.26,0.24,0,0.21,0,0.83,11.13,1.39,1.61,2.64,1.61,2.08,2.77,0.06,0.1,0.09,0.05,0,0.05,0,0.85,0.64,0.93,0.94,0.82,0.93,0.88,0.8,2.96,3.95,4.84,5.94,6.79,8.28,0.73,0.66,0.6,0.57,0.59,0.59,0.87,0.87,0.87,6.34,6.24,0.7
ob_758,1490,764040.3803,1613868.51,2526.48,7.83,6921,6.921,12,4.82,123.9650908,5.32,1,1,0,4,14.58518,-90.5493,7.447,7.423,2.68,4.51,4.07,8.71,5,0.97,0.03,0,0,7.78,7.37,0,1,0,0,1,0,0,0,0,2,2,sen_2305141,7.4478,7.4113,gc_zon_12,3.71,3.07,0.6,0.8221188,0.8221188,7.83,0.79,road_100m,4.3,0,1,0.01,0,0.06,0,0,0,0,0.86,12.08,3.61,3.4,3.18,2.89,2.64,2.89,0.15,0.27,0.1,0.08,0.12,0.16,0.14,0.71,11.14,3.04,2.94,2.83,1.79,2.4,2.83,0.02,0.01,0.06,0,0,0,0,0.86,0.73,0.8,0.83,0.88,0.91,0.93,0.92,3.55,4.24,5.24,6.52,7.17,8.24,0.84,0.83,0.8,0.8,0.78,0.75,0.88,0.73,0.87,6.51,6.17,0.81
ob_9,3422,773232.9917,1618376.666,1284.82,7.16,4128,4.128,8,5.2,181.2722419,5.48,1,1,0,2,14.62499,-90.46357,7.276,7.396,2.68,4.5,3.53,8.52,5,0.97,0.03,0,0,7.37,9.08,1,0,0,0,1,0,0,0,0,3,2,sen_2501072,7.3019,7.4041,gc_zon_16,4.01,3.34,0.56,0.7506725,0.7506725,7.16,5.1,road_100m,6.98,0,1,0.07,0.2,0.01,0,0,0.13,0,0.76,11.61,4.06,3.4,3,3.87,1.95,3.87,0.05,0.09,0.02,0.04,0.03,0.05,0,0.68,10.8,3,2.56,2.4,3.14,1.1,3.09,0.06,0.2,0.01,0,0,0.12,0,0.76,0.46,0.69,0.84,0.9,0.76,0.97,0.77,3.4,4.03,4.67,5.08,5.8,7.82,0.77,0.76,0.73,0.71,0.68,0.67,0.75,0.72,0.75,5.83,5.9,0.42
ob_580,2698,769831.7208,1618595.701,2019.86,7.61,6316,6.316,11,5.2,181.2722419,5.16,1,1,0,4,14.62731,-90.4951,7.509,7.384,2.68,4.51,3.97,6.96,5,0.8,0.2,0,0,8.76,6.68,0,0,1,0,1,0,0,0,0,1,1,sen_105101,7.5084,7.3768,gc_zon_5,3.54,2.76,0.61,0.840431399,0.840431399,7.61,1.16,road_100m,5.51,0,1,0.14,0.4,0.04,0,0.03,0.25,0,0.89,12.17,3.47,2.89,3.47,3.14,1.79,3.14,0.28,0.36,0.19,0.08,0.43,0.32,0.43,0.82,11.33,2.77,2.3,2.64,2.3,0.69,2.2,0.17,0.39,0.07,0.02,0.11,0.26,0,0.87,0.8,0.81,0.89,0.83,0.88,0.98,0.89,4.65,5.58,6.05,6.91,7.41,8.3,0.82,0.85,0.87,0.85,0.82,0.78,0.88,0.83,0.87,6.46,6.28,0.77
ob_81,3461,773536.5757,1609626.242,946.67,6.85,4323,4.323,8,5.67,290.0345344,5.56,1,1,0,2,14.54592,-90.46166,7.255,7.123,2.68,4.5,2.42,8.21,5,0.89,0.11,0,0,8.07,9.45,0,0,0,0,0,0,0,0,1,3,0,sen_3001053,7.323,7.0665,cat_1,4.41,3.65,0.48,0.616074402,0.616074402,6.85,6.65,road_500m~,6.41,0,0,0,0,0,0,0,0,0,0.62,10.79,3.66,3.61,4.43,4.17,4.01,4.5,0.02,0,0.03,0.06,0.04,0,0,0.5,9.96,2.56,2.56,3.56,3.37,3.3,3.64,0,0,0,0.01,0,0,0,0.61,0.2,0.79,0.8,0.57,0.66,0.7,0.55,3.89,4.17,4.84,5.92,6.37,7.72,0.86,0.82,0.79,0.77,0.76,0.72,0.63,0.57,0.62,5.24,5.46,0.24
ob_933,203,758582.5706,1616774.796,1192.32,7.08,8057,8.057,13,4.89,132.9535741,5.44,1,1,0,4,14.61196,-90.59964,6.864,7.442,2.68,4.51,4.28,9.72,5,0.89,0.11,0,0,6.68,9.57,0,0,0,0,0,1,0,0,0,1,0,sen_2608014,6.8707,7.431,mix_8,4.26,3.6,0.51,0.665291195,0.665291195,7.08,4.58,road_100m,5.58,0,1,0.11,0.4,0.06,0,0.03,0,0,0.76,11.49,3.66,2.56,3.47,3.95,3.37,4.11,0.17,0.45,0.06,0.1,0.06,0.16,0.14,0.61,10.35,3,1.39,3,3.37,2.4,3.37,0.11,0.41,0.06,0.01,0.04,0.02,0,0.74,0.39,0.78,0.93,0.83,0.72,0.85,0.69,4.13,4.96,5.39,5.97,6.35,7.93,0.82,0.85,0.86,0.84,0.84,0.77,0.78,0.69,0.77,6.09,5.83,0.53
ob_578,3446,773555.1219,1605242.365,885.91,6.79,6313,6.313,11,4.98,145.4743817,5.3,1,1,1,4,14.50632,-90.46194,7.258,6.491,2.67,4.5,1.53,6.46,4,0.93,0.07,0,0,6.68,8.47,0,0,0,0,0,0,0,0,1,3,0,sen_3005052,7.1725,6.4749,frai_1,4.42,3.74,0.48,0.616074402,0.616074402,6.79,4.45,road_100m,7.05,0,1,0,0,0,0,0,0,0,0.64,10.76,3.69,2.89,4.44,4.19,4.03,4.51,0.03,0.09,0,0.02,0.01,0,0,0.47,9.7,2.83,1.79,3.66,3.5,3.43,3.74,0,0.01,0,0,0,0,0,0.62,0.19,0.78,0.91,0.57,0.66,0.7,0.55,3.41,4.04,4.2,5.07,5.75,7.66,0.86,0.82,0.83,0.77,0.77,0.72,0.64,0.54,0.63,5.23,5.27,0.23
ob_950,491,759922.4716,1619508.891,1508.23,7.32,8105,8.105,13,4.86,129.0242021,4.67,1,1,0,4,14.63653,-90.58694,7.059,7.326,2.68,4.51,4.29,7.34,3,0.84,0.16,0,0,6.68,6.68,0,0,0,0,0,1,0,0,0,1,0,sen_2606154,7.0446,7.3158,mix_3,4.05,3.26,0.55,0.733253018,0.733253018,7.32,3.63,road_100m,4.36,0,1,0.07,0,0.03,0.29,0.02,0,0,0.81,11.71,2.48,2.71,3.64,3.61,3.33,3.83,0.37,0.73,0.14,0.65,0.13,0.16,0.29,0.75,10.89,1.79,1.95,2.83,2.77,2.2,2.89,0.11,0.12,0.05,0.35,0.03,0.03,0,0.8,0.5,0.94,0.92,0.8,0.81,0.86,0.78,3.92,4.83,5.77,7,7.39,8.3,0.89,0.86,0.83,0.83,0.84,0.78,0.84,0.82,0.84,6.29,6.19,0.66
ob_490,2745,770207.9535,1617033.349,2815.04,7.94,5721,5.721,10,6.16,473.4280748,6.32,1,1,1,2,14.61316,-90.49177,7.494,7.439,2.68,4.51,3.75,3.99,3,0.87,0.13,0,0,9.68,8.29,1,0,0,0,1,0,0,0,0,3,2,sen_2406033,7.4614,7.4226,gc_zon_16,4.01,3.05,0.56,0.7506725,0.7506725,7.94,5.97,road_300m,5.5,0,1,0,0,0,0,0,0,0,0.78,11.62,3.04,3.58,3.26,3.76,3.56,3.74,0.05,0.09,0.02,0.04,0.04,0.05,0,0.75,10.98,1.95,2.71,2.2,2.77,2.56,2.64,0.01,0.01,0.01,0.01,0,0.01,0,0.77,0.47,0.89,0.79,0.88,0.78,0.82,0.8,3.76,4.14,4.43,5.5,6.46,8.04,0.86,0.85,0.82,0.77,0.75,0.73,0.78,0.77,0.78,5.98,6.02,0.49
ob_967,3183,772358.9335,1618456.58,2732.17,7.91,8158,8.158,13,4.82,123.9650908,4.73,1,1,0,5,14.6258,-90.47167,7.355,7.392,2.68,4.51,3.68,9.52,5,0.97,0.03,0,0,8.07,8.98,1,0,0,0,1,0,0,0,0,2,1,sen_2501061,7.3486,7.3778,gc_zon_17,4.02,3.21,0.56,0.7506725,0.7506725,7.91,4.87,road_100m,6,0,1,0.07,0.2,0.05,0.06,0,0,0,0.79,11.73,3.97,3.22,2.77,3.78,2.83,3.76,0.04,0.09,0.02,0.04,0,0.05,0,0.74,10.95,2.83,2.3,1.95,2.94,1.61,2.89,0.06,0.2,0.05,0.06,0,0,0,0.78,0.52,0.72,0.87,0.93,0.78,0.92,0.8,4.01,4.78,5.04,5.39,6.25,7.88,0.85,0.81,0.85,0.81,0.78,0.77,0.78,0.78,0.78,5.97,6.08,0.48
ob_1040,1945,766154.9811,1610353.299,2392.69,7.78,8389,8.389,13,5.6,270.4264074,5.97,1,1,0,3,14.55322,-90.53004,7.537,7.203,2.68,4.51,3.62,2.84,3,0.64,0.36,1,0,6.68,6.68,0,0,0,0,0,0,0,1,0,1,0,sen_2803085,7.5377,7.2199,vica_1,3.73,2.92,0.59,0.803988415,0.803988415,7.78,5.47,road_200m,5.95,0,1,0.09,0.4,0.03,0,0,0,0,0.79,11.82,3.61,3.5,3.78,3.47,3.22,3.71,0.08,0.27,0.02,0,0,0.11,0.14,0.64,10.75,2.83,2.89,3.09,2.71,2.3,3.22,0.09,0.35,0.02,0,0,0.04,0,0.73,0.53,0.77,0.76,0.74,0.82,0.86,0.74,2.84,3.87,4.42,5.12,5.64,7.78,0.64,0.63,0.63,0.6,0.59,0.59,0.79,0.67,0.75,6.2,5.84,0.56
ob_102,1996,766456.9216,1610848.099,2037.79,7.62,4396,4.396,8,5.35,210.6082979,5.9,1,1,0,1,14.55766,-90.52719,7.544,7.247,2.68,4.51,4.34,2.37,2,0.56,0.44,0,0,8.29,6.68,0,1,0,0,1,0,0,0,0,0,2,sen_2803081,7.5396,7.2525,gc_zon_13,3.52,2.78,0.6,0.8221188,0.8221188,7.62,3.04,road_100m,5.19,0,1,0.09,0.4,0.03,0,0,0,0,0.79,11.93,3.66,3.56,3.81,3.53,3.3,3.76,0.1,0.27,0.03,0,0.08,0.11,0.14,0.69,10.89,2.71,2.71,3,2.56,2.08,3.09,0.1,0.34,0.03,0,0.04,0.05,0,0.75,0.57,0.77,0.76,0.74,0.82,0.87,0.74,2.65,2.66,3.79,5.01,5.84,7.98,0.82,0.78,0.76,0.79,0.82,0.78,0.8,0.71,0.76,6.32,5.91,0.61
ob_505,2054,766819.4273,1613900.834,3707.68,8.22,5766,5.766,10,5.52,249.6350372,5.33,1,1,1,4,14.5852,-90.52352,7.55,7.423,2.68,4.51,4.13,8.95,5,0.63,0.37,0,0,9.62,6.68,0,1,0,0,1,0,0,0,0,0,2,sen_2403021,7.548,7.4252,gc_zon_13,3.05,2.14,0.64,0.896480879,0.896480879,8.22,3.4,road_100m,0,1,1,0.19,0.4,0.18,0.12,0.09,0.13,0,0.91,12.19,2.94,3.04,3.37,2.4,1.39,3.33,0.42,0.55,0.63,0.1,0.33,0.47,0.14,0.87,11.31,1.95,1.95,2.4,1.1,1.1,2.56,0.27,0.45,0.35,0.11,0.18,0.25,0,0.89,0.8,0.9,0.88,0.85,0.96,0.98,0.85,4.4,5,5.62,6.87,7.45,8.35,0.82,0.81,0.78,0.79,0.8,0.81,0.91,0.89,0.9,6.53,6.31,0.81
ob_410,1350,763725.2476,1614499.439,2404.43,7.79,5495,5.495,10,6,403.4287935,5.9,1,1,0,3,14.59091,-90.55216,7.428,7.44,2.68,4.51,4.09,8.49,5,0.85,0.15,0,0,8.07,7.37,0,1,0,0,1,0,0,0,0,2,2,sen_2305121,7.4159,7.4332,gc_zon_12,3.81,3.08,0.58,0.786038431,0.786038431,7.79,6,road_400m,6.23,0,1,0.14,0.2,0.14,0.24,0.02,0.13,0,0.83,11.97,3.66,3.5,2.83,3.47,3.09,2.89,0.22,0.27,0.11,0.12,0.25,0.37,0.29,0.78,11.1,2.71,2.48,1.79,2.48,2.2,2.08,0.15,0.21,0.14,0.22,0.05,0.16,0,0.82,0.64,0.79,0.82,0.92,0.84,0.89,0.92,3.7,4.71,5.59,6.61,7.23,8.25,0.82,0.83,0.82,0.79,0.77,0.74,0.85,0.81,0.84,6.4,6.2,0.72
ob_665,1765,765141.5999,1621971.726,1262.31,7.14,6629,6.629,11,5.08,160.7740559,5.51,1,1,0,3,14.65827,-90.53827,7.508,7.118,2.69,4.51,3.92,10.67,5,0.94,0.06,0,0,7.37,8.07,0,0,0,0,0,1,0,0,0,1,0,sen_2605154,7.466,7.1517,mix_4,4.11,3.47,0.54,0.716006862,0.716006862,7.14,6.21,road_400m,5.79,0,0,0.04,0.2,0,0,0,0,0,0.8,11.88,3.53,3.43,3.56,3.64,3.47,3.5,0.04,0.09,0.01,0.04,0,0.05,0,0.66,10.94,2.94,2.89,2.48,3,2.89,2.83,0.04,0.19,0,0,0,0,0,0.79,0.59,0.81,0.82,0.83,0.81,0.83,0.84,3.55,4.08,4.7,5.97,6.82,8.02,0.79,0.77,0.74,0.73,0.71,0.69,0.81,0.69,0.8,6.29,5.97,0.65
ob_253,3473,773610.6532,1613233.985,1233.82,7.12,4984,4.984,10,6.28,533.7886638,6.07,1,0,0,2,14.5785,-90.4606,7.243,7.395,2.68,4.5,2.75,10.02,4,0.46,0.54,0,0,8.63,8.29,0,0,0,0,0,0,0,0,1,3,0,sen_3002025,7.2806,7.4094,cat_1,4.4,3.44,0.47,0.599994193,0.599994193,7.12,6.13,road_400m,6.74,0,0,0,0,0,0,0,0,0,0.61,10.84,3.87,3.83,4.33,4.16,4.09,4.41,0.01,0,0.01,0.04,0.01,0,0,0.56,10.23,2.77,2.71,3.33,3.14,2.94,3.43,0.01,0,0.01,0.02,0,0,0,0.58,0.24,0.73,0.73,0.58,0.67,0.69,0.57,2.96,3.19,3.54,4.78,5.46,7.51,0.86,0.81,0.76,0.73,0.73,0.7,0.61,0.62,0.62,5.24,5.66,0.32
ob_271,3080,771747.127,1618994.453,1068.81,6.97,5055,5.055,10,5.97,391.5056707,5.05,1,0,0,0,14.63072,-90.47729,7.402,7.365,2.68,4.51,3.77,2.59,2,0.87,0.13,0,0,7.78,8.47,1,0,0,0,1,0,0,0,0,3,2,sen_2406075,7.405,7.3581,gc_zon_16,4.07,3.16,0.55,0.733253018,0.733253018,6.97,5.34,road_200m,6.02,0,0,0,0,0,0,0,0,0,0.75,11.68,4.03,3.33,3.33,3.85,3.37,3.83,0.05,0.09,0.02,0.04,0.04,0.05,0,0.74,10.98,2.77,2.2,2.3,2.89,2.08,2.83,0.01,0.01,0,0.01,0,0.01,0,0.75,0.5,0.71,0.85,0.87,0.76,0.86,0.78,3.63,4.27,4.69,5.5,6.51,7.96,0.75,0.74,0.72,0.68,0.67,0.66,0.74,0.78,0.75,5.9,6.12,0.47
ob_272,4079,776184.8647,1609454.376,1397.67,7.24,5057,5.057,10,5.09,162.3898621,5.21,1,1,0,4,14.5441,-90.43712,6.926,7.101,2.68,4.5,2.59,3.82,3,0.93,0.07,0,0,0,8.88,0,0,0,0,0,0,0,0,1,3,0,sen_3003054,6.8737,7.1609,cat_1,4.22,3.58,0.52,0.68202765,0.68202765,7.24,3.01,road_100m,0,0,1,0.01,0,0,0,0.03,0,0,0.71,11.2,3.22,3.14,4.25,3.93,3.18,4.33,0.04,0.09,0.01,0.06,0.05,0,0,0.56,10.01,2.4,2.3,3.5,3.3,2.64,3.58,0.01,0.01,0,0,0.04,0,0,0.7,0.3,0.87,0.87,0.65,0.74,0.87,0.62,3.89,4.71,5.33,6.13,6.46,7.74,0.87,0.86,0.87,0.86,0.87,0.83,0.72,0.63,0.72,5.72,5.6,0.37
ob_433,482,760021.2996,1616602.971,1162.55,7.06,5580,5.58,10,5.54,254.6779995,5.74,1,1,0,3,14.61027,-90.58631,7.068,7.445,2.68,4.51,4.08,7.98,4,0.89,0.11,0,0,0,9.51,0,0,0,0,0,1,0,0,0,1,0,sen_2608034,7.0809,7.4298,mix_8,4.13,3.49,0.53,0.698932309,0.698932309,7.06,5.24,road_100m,2.89,0,1,0.03,0,0.03,0,0.03,0.13,0,0.79,11.62,3.81,3.04,3.14,3.76,1.79,3.95,0.13,0.36,0.05,0.1,0.05,0.05,0,0.66,10.58,3.09,2.08,2.71,3.26,0.69,3.14,0.04,0.04,0.03,0.01,0.04,0.12,0,0.77,0.45,0.75,0.89,0.88,0.77,0.98,0.74,3.63,4.39,5.03,5.8,6.34,8.01,0.8,0.8,0.78,0.74,0.73,0.73,0.81,0.72,0.8,6.18,5.94,0.58
ob_922,3960,775599.9574,1609010.5,1783.65,7.49,8024,8.024,13,4.86,129.0242021,5.34,1,1,0,3,14.54015,-90.44259,7.01,7.051,2.68,4.5,2.27,7.44,4,0.93,0.07,0,0,6.68,9.08,0,0,0,0,0,0,0,0,1,3,0,sen_3005034,7.0284,7.0551,frai_1,4.26,3.59,0.51,0.665291195,0.665291195,7.49,5.93,road_300m,5.31,0,1,0.01,0,0,0.06,0,0,0,0.69,11.11,3.33,3.26,4.29,3.99,3.5,4.37,0.06,0.18,0.01,0.06,0.03,0,0,0.55,10,2.4,2.4,3.5,3.3,2.89,3.58,0.01,0.01,0,0.06,0,0,0,0.68,0.27,0.85,0.86,0.63,0.72,0.83,0.61,3.31,4.11,5.03,6.12,6.45,7.74,0.83,0.82,0.79,0.75,0.75,0.71,0.7,0.62,0.7,5.62,5.58,0.33
ob_895,2539,769214.1459,1620346.911,1481.92,7.3,7884,7.884,13,5.21,183.0940582,5.16,1,1,0,5,14.64319,-90.50065,7.53,7.273,2.68,4.51,4.03,5.37,4,0.7,0.3,1,0,8.76,0,0,0,0,1,1,0,0,0,0,0,1,sen_101074,7.5255,7.2818,gc_zon_1,3.56,2.97,0.6,0.8221188,0.8221188,7.3,5.16,road_100m,4.72,0,1,0.28,0.2,0.11,0.12,0.5,0.38,1,0.92,12.27,3.14,3.04,3.26,2.56,2.71,2.83,0.49,0.55,0.27,0.18,0.83,0.63,0.57,0.84,11.32,2.2,2.2,2.48,1.95,1.95,2.48,0.34,0.3,0.16,0.14,0.6,0.45,1,0.89,0.86,0.87,0.87,0.86,0.93,0.92,0.9,4.59,5.4,6.18,7.16,7.67,8.34,0.85,0.82,0.81,0.79,0.77,0.75,0.91,0.85,0.89,6.56,6.27,0.83
ob_1009,2015,766475.2899,1617682.071,1359.64,7.21,8291,8.291,13,4.92,137.0026132,5.41,1,1,0,4,14.61939,-90.52633,7.545,7.42,2.68,4.51,4.04,3.1,3,0.65,0.35,0,0,8.07,0,0,0,1,0,1,0,0,0,0,0,0,sen_109034,7.5409,7.4121,gc_zon_8,3.34,2.62,0.62,0.858928042,0.858928042,7.21,5.19,road_100m,2.71,1,1,0.02,0,0.08,0,0.03,0,0,0.92,12.34,3.3,3.47,2.83,2.77,3.04,2.77,0.58,0.64,0.75,0.2,0.44,0.89,0.57,0.87,11.46,2.48,2.48,1.79,1.61,2.08,2.2,0.22,0.22,0.31,0.07,0.18,0.31,0,0.9,0.94,0.84,0.81,0.92,0.93,0.89,0.92,5.35,6.04,6.66,7.6,7.93,8.42,0.86,0.84,0.82,0.8,0.79,0.75,0.91,0.88,0.9,6.64,6.47,0.92
ob_581,3247,772418.9614,1623986.085,746.04,6.61,6322,6.322,11,5.01,149.9047361,4.65,1,1,0,2,14.67574,-90.47054,7.344,6.878,2.69,4.51,4.12,8.52,5,0.58,0.42,0,0,7.37,7.37,1,0,0,0,1,0,0,0,0,1,1,sen_2503081,7.343,6.928,gc_zon_18,4.4,3.65,0.45,0.568312185,0.568312185,6.61,5.73,road_300m,6.52,0,0,0,0,0,0,0,0,0,0.68,11.44,3.78,3.74,4.14,4.04,4.06,4.14,0.02,0,0,0,0.05,0.05,0.14,0.55,10.59,3,2.83,3.26,3.18,3.26,3.37,0.01,0,0,0,0.02,0.02,0,0.62,0.39,0.72,0.73,0.65,0.68,0.65,0.64,3.17,3.72,4.38,5.48,5.9,7.78,0.8,0.76,0.73,0.7,0.7,0.68,0.67,0.59,0.64,5.66,5.75,0.39
ob_760,3323,773032.6043,1607814.974,1423.37,7.26,6926,6.926,12,6.56,706.2716946,5.8,1,0,0,4,14.52961,-90.46652,7.306,6.903,2.68,4.5,2.32,7.94,4,0.93,0.07,0,0,7.78,8.76,0,0,0,0,0,0,0,0,1,3,0,sen_3001073,7.3291,6.9332,cat_1,4.28,3.58,0.51,0.665291195,0.665291195,7.26,4.39,road_100m,0,0,1,0.04,0,0,0.18,0.02,0,0,0.68,11.06,3.37,3.09,4.3,4.01,3.81,4.38,0.07,0.09,0.04,0.12,0.05,0.05,0,0.55,10.07,2.4,1.95,3.5,3.3,3.18,3.58,0.04,0.01,0,0.17,0.02,0,0,0.67,0.26,0.85,0.88,0.63,0.72,0.76,0.6,3.83,4.51,5.28,6.08,6.42,7.74,0.84,0.86,0.85,0.86,0.85,0.79,0.69,0.62,0.69,5.57,5.59,0.32
ob_854,3357,772938.7647,1618467.48,3148.43,8.05,7358,7.358,12,4.79,120.3013687,4.73,1,1,0,3,14.62584,-90.46629,7.304,7.392,2.68,4.5,3.56,8.52,5,0.97,0.03,0,0,7.37,9.08,1,0,0,0,1,0,0,0,0,3,2,sen_2501062,7.3308,7.3317,gc_zon_16,4.1,3.39,0.55,0.733253018,0.733253018,8.05,3.96,road_100m,6.87,0,1,0.07,0.2,0.03,0,0,0.13,0,0.76,11.6,4.06,3.4,3.04,3.89,2.48,3.87,0.05,0.09,0.02,0.04,0.05,0.05,0,0.66,10.79,3.09,2.71,2.48,3.18,1.39,3.14,0.07,0.2,0.03,0,0,0.12,0,0.75,0.46,0.69,0.84,0.9,0.75,0.94,0.77,3.44,4.12,4.7,5.07,5.86,7.8,0.84,0.85,0.85,0.82,0.77,0.75,0.75,0.69,0.75,5.83,5.83,0.41
