unique,hex_id,x_meter,y_meter,lv,ln_lv,ID_raw,ID,year,plt_ar,plot_area_raw,cst_ar,use,reg,corner,pot,y,x,f_x,f_y,ln_y,ln_x,pop_dens,nivelaca,estrat,puweight,prweight,slum,waste,flats,condos,dev,mat,det,reintro,mun,west,north,south,east,condo_seg,flat_seg,cod_sen,sen_x,sen_y,cod_adm,pucbd,prcbd,ln_cbd,cbd,cbd_norm,ln_lv,d_mroad,dum_mroad,d_hnach,prox_tmst,prox_bus,pumicro,pugrocerie,puban_res,puparks,puschools,puclinics,pumarkets,pumacro,pujobs,puxl_mal,puxl_groc,puuniv,pucult,puhosp,puxl_sport,prmicro,prgrocerie,prban_res,prparks,prschools,prclinics,prmarkets,prmacro,prjobs,prxl_mal,prxl_groc,pruniv,prcult,prhosp,prxl_sport,micro,groceries,ban_res,parks,schools,clinics,markets,macro,jobs,xl_mal,xl_groc,univ,cult,hosp,xl_sport,int_08,int_15,int_25,int_50,int_75,int_n,nach_08,nach_15,nach_25,nach_50,nach_75,nach_n,pumacssx,prmacssx,macssx,puint_grav,print_grav,int_grav
ob_1129,1636,764592.0642,1618382.287,1976.93,7.59,8648,8.648,14,5.08,160.7740559,5.68,1,1,0,4,14.6259,-90.54373,7.481,7.392,2.68,4.51,4.13,3.58,3,0.51,0.49,0,1,7.37,0,0,1,0,0,1,0,0,0,0,0,1,sen_2301044,7.48,7.3819,gc_zon_7,3.61,2.93,0.59,0.803988415,0.803988415,7.59,2.04,road_100m,0,0,1,0.17,0.4,0.04,0.35,0.05,0,0,0.88,12.06,2.83,3.09,3.47,3.22,2.08,3.04,0.23,0.36,0.14,0.27,0.15,0.21,0.14,0.84,11.3,1.95,2.08,2.64,2.3,1.61,2.2,0.2,0.38,0.09,0.31,0.1,0.1,0,0.86,0.71,0.9,0.87,0.81,0.87,0.95,0.9,4.67,5.32,6.04,7.31,7.86,8.35,0.82,0.85,0.86,0.84,0.84,0.8,0.9,0.87,0.88,6.51,6.34,0.81
ob_844,79,757516.0815,1620187.424,1483.88,7.3,7309,7.309,12,5.15,172.4314903,5.22,1,0,1,2,14.64289,-90.6092,6.696,7.275,2.68,4.51,4.07,10.8,5,0.81,0.19,0,0,6.68,8.07,0,0,0,0,0,1,0,0,0,1,0,sen_2602135,6.7505,7.2841,mix_7,4.27,3.43,0.51,0.665291195,0.665291195,7.3,6.38,road_500m~,6.04,0,0,0,0,0,0,0,0,0,0.7,11.39,3.64,3.69,3.93,3.93,3.74,4.09,0.07,0.18,0.01,0.06,0.02,0.05,0,0.62,10.58,2.64,2.71,3.09,3.18,2.77,3.14,0.01,0.03,0.01,0.01,0,0.01,0,0.69,0.37,0.79,0.77,0.73,0.73,0.78,0.7,2.89,3.83,4.74,5.93,6.67,8.23,0.84,0.78,0.8,0.76,0.76,0.73,0.72,0.68,0.71,5.94,5.95,0.48
ob_401,3160,772397.8422,1611276.431,1702.17,7.44,5457,5.457,10,6.19,487.8461062,5.79,1,0,0,4,14.56094,-90.47205,7.358,7.276,2.68,4.51,2.95,7.65,5,0.46,0.54,0,0,8.29,9.24,0,0,0,0,0,0,0,0,1,3,0,sen_3002023,7.361,7.3023,cat_1,3.87,3.12,0.55,0.733253018,0.733253018,7.44,4.67,road_100m,6.25,0,1,0.09,0.4,0.03,0,0,0,0,0.76,11.59,3.37,3.3,3.93,3.43,3.53,4.03,0.04,0.09,0.05,0.02,0.01,0.05,0,0.65,10.6,2.4,2.3,3.22,2.64,2.77,3.3,0.07,0.23,0.04,0.01,0,0.03,0,0.7,0.42,0.83,0.83,0.67,0.82,0.78,0.66,3.13,3.9,4.61,5.43,6.13,7.77,0.84,0.82,0.81,0.79,0.79,0.73,0.77,0.71,0.74,6.02,5.94,0.52
ob_129,983,762147.7555,1621256.31,975.25,6.88,4508.2,4.5082,9,5.06,157.5905163,5.53,1,1,0,4,14.6521,-90.56612,7.309,7.187,2.68,4.51,4.28,10.67,5,0.93,0.07,0,0,6.68,8.07,0,0,0,0,0,1,0,0,0,1,0,sen_2605154,7.466,7.1517,mix_4,4.19,3.21,0.53,0.698932309,0.698932309,6.88,2.63,road_100m,5.95,0,1,0.04,0,0.03,0.06,0.02,0.13,0,0.83,11.78,3.56,1.61,3,3.69,2.77,3.74,0.23,0.27,0.05,0.55,0.15,0.16,0.14,0.77,10.9,2.48,0.69,2.4,2.64,1.79,2.83,0.05,0.02,0.03,0.09,0.03,0.13,0,0.82,0.54,0.81,0.98,0.9,0.8,0.92,0.8,4.05,4.72,5.42,6.55,7.09,8.1,0.86,0.83,0.82,0.79,0.78,0.75,0.85,0.85,0.85,6.31,6.22,0.67
ob_946,3356,772980.7214,1618185.639,1804.63,7.5,8098,8.098,13,4.79,120.3013687,4.96,1,1,0,2,14.62329,-90.46593,7.3,7.404,2.68,4.5,3.59,8.52,5,0.97,0.03,0,0,7.37,9.08,1,0,0,0,1,0,0,0,0,3,2,sen_2501072,7.3019,7.4041,gc_zon_16,4.16,3.42,0.54,0.716006862,0.716006862,7.5,5.79,road_300m,6.65,0,1,0,0,0,0,0,0,0,0.74,11.58,4.13,3.53,3.18,3.95,2.71,3.95,0.05,0.09,0.02,0.04,0.03,0.05,0,0.64,10.74,3.14,2.77,2.56,3.22,1.61,3.18,0,0,0,0,0,0,0,0.74,0.44,0.67,0.82,0.88,0.74,0.93,0.75,2.82,3.31,4.08,4.68,5.51,7.67,0.84,0.78,0.74,0.73,0.7,0.69,0.73,0.67,0.73,5.8,5.82,0.4
ob_419,1436,763788.438,1618835.225,1491.03,7.31,5547,5.547,10,5.3,200.33681,5.59,1,1,0,3,14.63007,-90.55114,7.435,7.369,2.68,4.51,4.19,7.56,4,0.76,0.24,0,0,7.78,7.37,0,1,0,0,1,0,0,0,0,0,1,sen_2301102,7.4346,7.3641,gc_zon_7,3.87,2.9,0.58,0.786038431,0.786038431,7.31,5.46,road_200m,5.55,0,1,0.04,0,0.02,0.18,0.03,0,0,0.87,11.98,2.71,2.64,3.37,3.18,2.77,3.18,0.36,0.36,0.21,0.57,0.24,0.47,0.14,0.84,11.22,1.61,1.79,2.48,2.08,2.08,1.95,0.12,0.09,0.06,0.27,0.08,0.11,0,0.87,0.68,0.92,0.92,0.85,0.89,0.91,0.9,3.97,5.02,5.92,7.11,7.72,8.29,0.81,0.78,0.79,0.76,0.76,0.71,0.9,0.9,0.9,6.46,6.4,0.79
ob_246,1231,763093.1241,1618542.113,1266.58,7.14,4962,4.962,10,5.5,244.6919323,5.07,1,1,0,5,14.62749,-90.55762,7.386,7.384,2.68,4.51,4.21,9.2,5,0.52,0.48,0,0,7.78,6.68,0,1,0,0,1,0,0,0,0,0,1,sen_2301121,7.3891,7.3745,gc_zon_7,3.69,2.86,0.59,0.803988415,0.803988415,7.14,4.7,road_100m,0,0,1,0.21,0.2,0.29,0.24,0.19,0.13,0,0.9,12.07,2.71,1.95,3.3,3,2.4,3.3,0.6,0.82,0.29,0.96,0.29,0.74,0.29,0.88,11.26,1.39,1.1,2.2,1.95,1.61,2.3,0.4,0.5,0.29,0.58,0.24,0.42,0,0.89,0.75,0.93,0.96,0.87,0.9,0.94,0.87,4.68,5.57,6.28,7.36,7.88,8.33,0.83,0.87,0.89,0.88,0.87,0.84,0.93,0.94,0.93,6.57,6.49,0.9
ob_69,3268,772893.1533,1610660.857,826.68,6.72,4280,4.28,8,6.32,555.5729925,6.08,1,0,0,2,14.55533,-90.46752,7.316,7.224,2.68,4.5,2.7,9.81,5,0.89,0.11,0,0,7.78,9.24,0,0,0,0,0,0,0,0,1,3,0,sen_3001051,7.3561,7.2238,cat_1,4.26,3.34,0.52,0.68202765,0.68202765,6.72,6.46,road_500m~,6.55,0,0,0,0,0,0,0,0,0,0.66,11.09,3.61,3.53,4.29,3.99,4.03,4.37,0.06,0.18,0.04,0.02,0.02,0,0,0.59,10.33,2.4,2.3,3.4,2.94,3.04,3.5,0.01,0.02,0,0,0,0,0,0.65,0.27,0.81,0.82,0.63,0.73,0.71,0.61,3.55,3.81,4.1,5.05,5.8,7.5,0.8,0.83,0.79,0.75,0.74,0.69,0.66,0.65,0.66,5.51,5.72,0.31
ob_47,1647,764678.8301,1621910.237,965,6.87,4225,4.225,8,5.08,160.7740559,5.61,1,1,1,3,14.65776,-90.54257,7.487,7.124,2.68,4.51,3.64,10.67,5,0.94,0.06,0,0,7.78,8.29,0,0,0,0,0,1,0,0,0,1,0,sen_2605154,7.466,7.1517,mix_4,4.07,3.43,0.55,0.733253018,0.733253018,6.87,5.66,road_200m,4.93,0,1,0,0,0,0,0,0,0,0.82,11.94,3.47,3.33,3.47,3.56,3.37,3.4,0.05,0.09,0.01,0.04,0.02,0.11,0,0.68,10.98,2.89,2.83,2.4,2.94,2.83,2.71,0,0.01,0,0,0,0.01,0,0.81,0.63,0.82,0.84,0.85,0.82,0.85,0.86,3.83,4.3,4.96,6.16,6.98,8.06,0.83,0.85,0.84,0.82,0.8,0.77,0.83,0.71,0.82,6.36,6.05,0.7
ob_564,3627,774030.8721,1622200.696,714.63,6.57,6025,6.025,11,4.81,122.7316175,5.36,1,0,1,3,14.65945,-90.45577,7.187,7.104,2.69,4.5,4,6.09,3,0.84,0.16,1,0,7.78,8.07,1,0,0,0,1,0,0,0,0,1,1,sen_2502164,7.1865,7.1357,gc_zon_18,4.26,3.63,0.5,0.648721271,0.648721271,6.57,6.46,road_500m~,4.72,0,1,0.1,0.4,0.03,0,0.02,0,0,0.75,11.7,3.5,3.47,3.95,3.83,3.85,3.95,0.11,0.18,0.02,0.06,0.06,0.21,0.14,0.61,10.71,2.83,2.56,3.14,3.04,3.14,3.26,0.1,0.37,0.03,0.01,0.02,0.03,0,0.72,0.49,0.81,0.82,0.73,0.76,0.74,0.73,4.14,4.84,5.57,6.43,6.65,8.07,0.87,0.84,0.82,0.83,0.83,0.76,0.74,0.65,0.73,5.96,5.88,0.48
